tract_id,STATEFP,COUNTYFP,TRACTCE,POPULATION,latitude,longitude
36061011500,36,061,011500,3863,40.757608,-73.993352
36061011600,36,061,011600,3263,40.763324,-73.957811
36061011700,36,061,011700,5256,40.760394,-73.998833
36061011800,36,061,011800,9688,40.765281,-73.961044
36061011900,36,061,011900,1666,40.757378,-73.986389
36061012000,36,061,012000,3905,40.766803,-73.964473
36061012101,36,061,012101,3408,40.759153,-73.990249
36061012102,36,061,012102,5236,40.760101,-73.993494
36061012200,36,061,012200,3425,40.768491,-73.967814
36061012400,36,061,012400,10845,40.766873,-73.954262
36061012500,36,061,012500,2901,40.760475,-73.985255
36061012601,36,061,012601,7437,40.767962,-73.957429
36061012602,36,061,012602,6400,40.768877,-73.959773
36061012700,36,061,012700,7282,40.762182,-73.989813
36061012800,36,061,012800,6545,40.7714,-73.961202
36061012901,36,061,012901,7959,40.7614,-73.99708
36061012902,36,061,012902,3144,40.764098,-73.994092
36061013000,36,061,013000,3911,40.77278,-73.964583
36061013100,36,061,013100,3962,40.762857,-73.983115
36061013201,36,061,013201,3146,40.76899,-73.952648
36061013202,36,061,013202,4237,40.769948,-73.949795
36061013203,36,061,013203,3747,40.770987,-73.952205
36061013300,36,061,013300,6782,40.76454,-73.98807
36061013400,36,061,013400,11882,40.77158,-73.9559
36061013501,36,061,013501,5504,40.766691,-73.992192
36061013502,36,061,013502,6358,40.769796,-73.991774
36061013601,36,061,013601,1962,40.772308,-73.946073
36061013602,36,061,013602,5070,40.771902,-73.94865
36061013603,36,061,013603,4387,40.772921,-73.950829
36061013604,36,061,013604,5057,40.773939,-73.94846
36061013700,36,061,013700,7308,40.76525,-73.979873
36061013800,36,061,013800,13109,40.77476,-73.9539
36061013900,36,061,013900,9988,40.76728,-73.985931
36061014000,36,061,014000,8050,40.776133,-73.957871
36061014200,36,061,014200,4463,40.777324,-73.961303
36061014300,36,061,014300,129,40.786252,-73.963244
36061014401,36,061,014401,5040,40.775322,-73.947692
36061014402,36,061,014402,7151,40.77696,-73.94643
36061014500,36,061,014500,7532,40.770222,-73.984811
36061014601,36,061,014601,4481,40.777138,-73.952153
36061014602,36,061,014602,9061,40.778821,-73.951158
36061014700,36,061,014700,2987,40.771564,-73.988629
36061014801,36,061,014801,3221,40.778725,-73.955795
36061014802,36,061,014802,7494,40.78114,-73.954436
36061014900,36,061,014900,6351,40.77193,-73.981457
36061015001,36,061,015001,2321,40.780311,-73.959238
36061015002,36,061,015002,5642,40.782198,-73.957596
36061015101,36,061,015101,3756,40.773501,-73.987217
36061015102,36,061,015102,8254,40.774176,-73.990401
36061015200,36,061,015200,7730,40.77975,-73.945527
36061015301,36,061,015301,3684,40.774408,-73.979131
36061015302,36,061,015302,6032,40.775513,-73.982279
36061015401,36,061,015401,5189,40.780375,-73.949764
36061015402,36,061,015402,4503,40.781452,-73.947583
36061015403,36,061,015403,5738,40.78237,-73.949905
36061015501,36,061,015501,5091,40.776651,-73.984919
36061015502,36,061,015502,5759,40.777904,-73.98766
36061015601,36,061,015601,5568,40.783803,-73.947691
36061015602,36,061,015602,2154,40.785485,-73.947628
36061015700,36,061,015700,11197,40.777394,-73.978844
36061015801,36,061,015801,5600,40.784206,-73.952114
36061015802,36,061,015802,4516,40.786374,-73.950118
36061015900,36,061,015900,10054,40.779617,-73.984436
36061016001,36,061,016001,3852,40.785898,-73.955038
36061016002,36,061,016002,3607,40.787852,-73.95344
36061016100,36,061,016100,6617,40.779785,-73.977213
36061016200,36,061,016200,9033,40.788692,-73.939243
36061016300,36,061,016300,7292,40.782261,-73.982077
36061016400,36,061,016400,7371,40.787655,-73.944345
36061016500,36,061,016500,6659,40.783034,-73.975805
36061016600,36,061,016600,7012,40.78933,-73.948313
36061016700,36,061,016700,7210,40.784725,-73.979952
36061016800,36,061,016800,4964,40.791386,-73.95094
36061016900,36,061,016900,8526,40.78512,-73.972833
36061017000,36,061,017000,7991,40.790779,-73.94184
36061017100,36,061,017100,9694,40.787573,-73.978355
36061017200,36,061,017200,5441,40.793962,-73.945024
36061017300,36,061,017300,8699,40.787675,-73.971275
36061017401,36,061,017401,5449,40.794962,-73.948906
36061017402,36,061,017402,2276,40.796793,-73.94773
36061017500,36,061,017500,11110,40.790058,-73.976901
36061017700,36,061,017700,9382,40.790263,-73.969403
36061017800,36,061,017800,3860,40.79573,-73.933748
36061017900,36,061,017900,9103,40.792656,-73.974438
36061018000,36,061,018000,7429,40.79459,-73.939435
36061018100,36,061,018100,8941,40.792616,-73.96773
36061018200,36,061,018200,7675,40.798372,-73.941988
